Name,New Code,GCSE_Score,Density,Eng_HH,Lone_Parent,House_Price,Income,Qual_Level4,Out_Work_Fam,Absence,Crime,Bad_Health,Happiness,Green_Space,PTAL,Cars_HH,Deprivation
Greenwich West,E05000222,310.8977064,5928.571429,6404,851,450000.0,53640.0,49.9,17.73333333,1.441476015,96.80807609,3.9,8.002923977,49.04117019,4.597634696,0.570662906,28.89432726
Kidbrooke with Hornfair,E05000223,313.148366,5979.166667,5379,808,260050.0,44870.0,30.8,20.56338028,2.0,59.24987686,6.3,7.21092437,28.2163703,2.554345294,0.879402165,30.95997282
Middle Park and Sutcliffe,E05000224,329.26,4106.060606,5235,844,292755.0,44350.0,29.6,25.45454545,1.834136546,70.53757054,6.4,7.656415344,36.97768899,2.26976918,0.901334776,33.98552154
Peninsula,E05000225,302.8371134,3133.333333,5565,653,379000.0,53050.0,49.5,18.14285714,1.445023328,108.533291,4.7,7.666666667,33.66585389,4.52817859,0.615719117,26.48448955
Plumstead,E05000226,305.5567839,7000.0,5025,966,249000.0,40660.0,25.2,17.39583333,1.519804305,66.45301729,5.2,7.419658688,40.9500246,3.56389176,0.748724923,32.47614597
Shooters Hill,E05000227,320.0586957,3552.631579,5045,724,270000.0,49190.0,31.3,13.90625,1.045077106,45.59430071,4.8,7.997395833,57.15178727,2.435871306,0.995490417,23.94133378
Thamesmead Moorings,E05000228,311.460793,4125.0,6116,1357,190000.0,43220.0,32.4,18.94736842,1.205778894,69.46885374,4.6,7.416666667,55.35532401,2.642959917,0.728187437,31.85632007
Woolwich Common,E05000229,313.0375,6750.0,5492,1197,267500.0,38090.0,26.7,20.17241379,1.339243667,90.07616735,5.3,7.254032258,39.35420986,3.999408673,0.562912866,45.614768
Woolwich Riverside,E05000230,309.0051724,6000.0,7062,1328,266250.0,42080.0,35.2,22.0,1.684883261,101.2989531,5.4,7.841103831,34.94588429,4.496121271,0.523330059,44.17502141
Brownswood,E05000231,295.0340909,13937.5,3976,546,440000.0,48860.0,51.7,30.0,1.123451327,73.32521315,5.7,7.079545455,25.64118866,6.132485111,0.415198689,39.98778658
Cazenove,E05000232,320.3638298,19214.28571,3970,605,375000.0,46380.0,35.6,11.63043478,0.806157635,46.83377309,4.8,7.301923077,12.82196651,4.749908673,0.435551811,37.13414089
Chatham,E05000233,326.3227273,14777.77778,4799,999,415000.0,39570.0,37.6,27.42857143,1.023553934,112.2873622,6.5,7.134555106,20.44513833,5.754982027,0.357958601,47.52466789
Clissold,E05000234,345.5694444,17500.0,4611,671,499950.0,56050.0,53.5,15.92592593,0.689257951,71.28618133,5.8,6.8859375,12.29692355,3.634102735,0.47265322,32.95110924
Dalston,E05000235,332.2970803,16444.44444,5533,873,485000.0,46500.0,48.6,29.8245614,1.302618454,164.9690562,5.5,7.274038462,17.09319379,5.960534788,0.358253031,45.64694358
De Beauvoir,E05000236,314.8584158,15222.22222,5346,810,480000.0,47560.0,49.8,28.90909091,1.407843137,170.9325465,5.5,7.342993952,14.21786584,4.881049237,0.418277971,40.22722233
Hackney Central,E05000237,327.9693069,15750.0,4780,886,450000.0,42840.0,42.0,25.09433962,1.24623813,108.0166179,6.9,7.134619302,14.08763983,6.736875009,0.340627279,45.60380833
Hackney Downs,E05000238,318.0313433,13000.0,4596,814,433000.0,43360.0,42.2,25.53571429,1.112445551,75.87402049,6.8,6.966463415,33.83463049,5.494949439,0.424130955,45.96202185
